序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
150,接收,0,14:06:33.145.822 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
151,接收,0,14:06:33.146.662 ,00:00:00.000.840 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
152,接收,0,14:06:33.150.906 ,00:00:00.004.244 ,0x18EBFF00,数据帧,扩展帧,08,05 00 00 00 00 e2 04 ff ,
153,接收,0,14:06:33.152.674 ,00:00:00.001.768 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
154,接收,0,14:06:33.154.666 ,00:00:00.001.992 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
155,接收,0,14:06:33.156.670 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
156,接收,0,14:06:33.160.838 ,00:00:00.004.168 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
157,接收,0,14:06:33.164.658 ,00:00:00.003.820 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
158,接收,0,14:06:33.166.666 ,00:00:00.002.008 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
159,接收,0,14:06:33.167.237 ,00:00:00.000.571 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
160,接收,0,14:06:33.168.690 ,00:00:00.001.453 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
161,接收,0,14:06:33.174.666 ,00:00:00.005.976 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
162,接收,0,14:06:33.176.666 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
163,接收,0,14:06:33.177.254 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
164,接收,0,14:06:33.184.654 ,00:00:00.007.400 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
165,接收,0,14:06:33.185.243 ,00:00:00.000.589 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
166,接收,0,14:06:33.186.666 ,00:00:00.001.423 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
167,接收,0,14:06:33.190.919 ,00:00:00.004.253 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
168,接收,0,14:06:33.192.751 ,00:00:00.001.832 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
169,接收,0,14:06:33.194.667 ,00:00:00.001.916 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
170,接收,0,14:06:33.195.247 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f4 ff ff ff ff ,
171,接收,0,14:06:33.196.671 ,00:00:00.001.424 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
172,接收,0,14:06:33.200.779 ,00:00:00.004.108 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
173,接收,0,14:06:33.202.819 ,00:00:00.002.040 ,0x18FEF600,数据帧,扩展帧,08,ff 2e 41 ff ff ff ff ff ,
174,接收,0,14:06:33.204.663 ,00:00:00.001.844 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
175,接收,0,14:06:33.206.667 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
176,接收,0,14:06:33.207.247 ,00:00:00.000.580 ,0x18FFA200,数据帧,扩展帧,08,ff f1 01 ff ff 00 ff ff ,
177,接收,0,14:06:33.208.763 ,00:00:00.001.516 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
178,接收,0,14:06:33.212.667 ,00:00:00.003.904 ,0x18FEED00,数据帧,扩展帧,08,b4 78 0a ff ff ff ff ff ,
179,接收,0,14:06:33.214.668 ,00:00:00.002.001 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
180,接收,0,14:06:33.215.259 ,00:00:00.000.591 ,0x18FEFF00,数据帧,扩展帧,08,fd ff ff ff ff ff ff ff ,
181,接收,0,14:06:33.216.671 ,00:00:00.001.412 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
182,接收,0,14:06:33.217.259 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
183,接收,0,14:06:33.224.656 ,00:00:00.007.397 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
184,接收,0,14:06:33.225.244 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
185,接收,0,14:06:33.226.668 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
186,接收,0,14:06:33.232.680 ,00:00:00.006.012 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
187,接收,0,14:06:33.234.668 ,00:00:00.001.988 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
188,接收,0,14:06:33.236.676 ,00:00:00.002.008 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
189,接收,0,14:06:33.240.844 ,00:00:00.004.168 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
